id;name
b585f427-feeb-4c0c-9691-f414908fd26a;consequently
32c44731-2cde-46c8-bbd1-ef786cdbeadd;ha not
937a97b8-0bf4-4dde-b7b0-6b8328cef96e;drat giant deer
d2555dac-3134-4c3e-9807-526c63837a93;ha but tragic
0f6daaac-fb1c-4b4f-ae4c-4b3be7d0b94c;even whoever
b73d94c8-f30f-4004-a069-a24bdcb25e44;woot
92caf686-9f2d-4053-ac2f-80cad187ef6b;huzzah who despite
48f3eb17-dd87-44ff-a52f-2e6f3e4a7331;enraged crazy inasmuch
a41d3a57-0351-441d-bfd8-05edbc2a5d38;gadzooks yet
d65b339d-743a-48b4-922b-905672a14ef1;questionable aha statement
